title,id,categories,version,total_versions,date,delta_time,is_pdf,grobid,pages,delta_pages,tokens_cnt,delta_tokens_cnt,token_density,words_cnt,removed_words_cnt,added_words_cnt,relative_added_words,relative_removed_words,ref_cnt,delta_ref_cnt,authors_cnt,delta_authors_cnt,figures_cnt,delta_figures_cnt,figures_density,title_changed,abstract_changed
Pseudospins and topological effects of phonons in a Kekulé lattice,1708.06482,cond-mat.mes-hall cond-mat.mtrl-sci,1,2,2017-08-22 02:33:23+00:00,,True,True,5.0,,3116.0,,623.2,956.0,,,,,57.0,,5.0,,5.0,,1.0,,
Pseudospins and Topological Effects of Phonons in a Kekulé Lattice,1708.06482,cond-mat.mes-hall cond-mat.mtrl-sci,2,2,2017-12-13 15:30:35+00:00,113 days 12:57:12,True,True,5.0,0.0,3193.0,77.0,638.6,973.0,50.0,68.0,0.0708418891170431,0.0532915360501567,61.0,4.0,5.0,0.0,5.0,0.0,1.0,True,
"Probing the chiral magnetic wave in pPb and PbPb collisions at $
  \sqrt{\smash[b]{s_{_{\mathrm{NN}}}}} = $ 5.02 TeV using charge-dependent
  azimuthal anisotropies",1708.08901,nucl-ex,1,2,2017-08-29 17:39:16+00:00,,False,False,,,,,,,,,,,,,,,,,,,
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH (CERN),1708.08901,nucl-ex,2,2,2019-12-18 21:28:53+00:00,,True,True,32.0,,5859.0,,183.09375,2472.0,,,,,69.0,,600.0,,9.0,,0.28125,,
"Theoretical Prediction of Two-Dimensional Functionalized MXene Nitrides
  as Topological Insulators",1708.09710,cond-mat.mes-hall,1,2,2017-08-31 13:52:20+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Theoretical Prediction of Two-Dimensional Functionalized MXene Nitrides as Topological Insulators,1708.09710,cond-mat.mes-hall,2,2,2017-10-30 04:34:04+00:00,,True,True,26.0,,3677.0,,141.42307692307693,1203.0,,,,,95.0,,8.0,,9.0,,0.3461538461538461,,
Most Strange Dibaryon from Lattice QCD,1709.00654,hep-lat hep-ex hep-ph nucl-ex nucl-th,1,2,2017-09-03 03:05:12+00:00,,True,True,6.0,,2974.0,,495.6666666666667,823.0,,,,,43.0,,12.0,,4.0,,0.6666666666666666,,
Most Strange Dibaryon from Lattice QCD,1709.00654,hep-lat hep-ex hep-ph nucl-ex nucl-th,2,2,2018-05-24 05:21:32+00:00,263 days 02:16:20,True,True,6.0,0.0,3092.0,118.0,515.3333333333334,841.0,18.0,39.0,0.0475059382422802,0.0230582524271844,44.0,1.0,11.0,-1.0,4.0,0.0,0.6666666666666666,False,False
Three small transiting planets around the M dwarf host star LP 358-499,1709.01025,astro-ph.EP,1,3,2017-09-04 16:20:47+00:00,,True,True,5.0,,2065.0,,413.0,699.0,,,,,19.0,,3.0,,5.0,,1.0,,
Three small transiting planets around the M dwarf host star LP 358-499,1709.01025,astro-ph.EP,2,3,2017-09-07 08:54:53+00:00,2 days 16:34:06,True,True,5.0,0.0,2560.0,495.0,512.0,795.0,44.0,130.0,0.164572864321608,0.0642857142857142,21.0,2.0,3.0,0.0,8.0,3.0,1.6,False,True
Three small transiting planets around the M dwarf host star LP 358-499,1709.01025,astro-ph.EP,3,3,2017-10-16 16:08:40+00:00,39 days 07:13:47,True,True,6.0,1.0,3125.0,565.0,520.8333333333334,957.0,69.0,211.0,0.2212943632567849,0.0879396984924623,32.0,11.0,3.0,0.0,6.0,-2.0,1.0,False,False
A Light Dilatonic Higgs and a Dilatonic Inflaton in the Georgi-Glashow SU(5) Model,1709.01419,hep-ph,1,2,2017-09-04 00:09:37+00:00,,True,True,6.0,,838.0,,139.66666666666666,309.0,,,,,13.0,,1.0,,0.0,,0.0,,
A Light Dilatonic Higgs and a Dilatonic Inflaton in the Georgi-Glashow SU(5) Model,1709.01419,hep-ph,2,2,2017-10-14 00:40:22+00:00,40 days 00:30:45,True,True,6.0,0.0,893.0,55.0,148.83333333333334,325.0,1.0,21.0,0.0674846625766871,0.0064516129032258,18.0,5.0,1.0,0.0,1.0,1.0,0.1666666666666666,False,False
Observation of three-photon bound states in a quantum nonlinear medium,1709.01478,physics.atom-ph quant-ph,1,2,2017-09-05 16:24:48+00:00,,True,True,20.0,,7541.0,,377.05,1428.0,,,,,47.0,,10.0,,14.0,,0.7,,
Observation of three-photon bound states in a quantum nonlinear medium,1709.01478,physics.atom-ph quant-ph,2,2,2017-11-10 23:35:18+00:00,66 days 07:10:30,True,True,36.0,16.0,8096.0,555.0,224.88888888888889,1435.0,169.0,165.0,0.1155988857938718,0.1189643107067879,54.0,7.0,10.0,0.0,11.0,-3.0,0.3055555555555556,False,False
"Excitonic Coupled-cluster Theory: Part I, General Formalism",1709.01966,physics.chem-ph physics.atm-clus quant-ph,1,4,2017-09-06 19:16:37+00:00,,True,True,19.0,,5421.0,,285.3157894736842,1448.0,,,,,51.0,,2.0,,2.0,,0.1052631578947368,,
Excitonic Coupled-cluster Theory,1709.01966,physics.chem-ph physics.atm-clus quant-ph,2,4,2018-03-12 05:40:21+00:00,186 days 10:23:44,True,True,41.0,22.0,11701.0,6280.0,285.390243902439,2203.0,188.0,907.0,0.4119782214156079,0.1304347826086956,70.0,19.0,2.0,0.0,8.0,6.0,0.1951219512195122,True,False
Excitonic Coupled-cluster Theory,1709.01966,physics.chem-ph physics.atm-clus quant-ph,3,4,2018-07-05 18:38:36+00:00,115 days 12:58:15,True,True,43.0,2.0,11423.0,-278.0,265.6511627906977,2146.0,168.0,102.0,0.047973917093619,0.0766787658802177,76.0,6.0,2.0,0.0,6.0,-2.0,0.1395348837209302,False,False
Excitonic Coupled-cluster Theory,1709.01966,physics.chem-ph physics.atm-clus quant-ph,4,4,2018-08-17 16:42:55+00:00,42 days 22:04:19,True,True,33.0,-10.0,12474.0,1051.0,378.0,2297.0,16.0,163.0,0.0713664055700609,0.007918025151374,88.0,12.0,2.0,0.0,7.0,1.0,0.2121212121212121,False,False
Tunable ϕ-Josephson junction with a quantum anomalous Hall insulator,1709.02338,cond-mat.supr-con cond-mat.mes-hall,1,2,2017-09-07 16:23:30+00:00,,True,True,10.0,,3876.0,,387.6,884.0,,,,,34.0,,3.0,,8.0,,0.8,,
Tunable ϕ-Josephson junction with a quantum anomalous Hall insulator,1709.02338,cond-mat.supr-con cond-mat.mes-hall,2,2,2017-12-08 05:36:17+00:00,91 days 13:12:47,True,True,10.0,0.0,3962.0,86.0,396.2,909.0,14.0,35.0,0.0395604395604395,0.0169491525423728,36.0,2.0,3.0,0.0,8.0,0.0,0.8,False,False
EXACT SOLVABILITY AND ASYMPTOTIC ASPECTS OF GENERALIZED XX0 SPIN CHAINS,1709.02760,math-ph hep-th math.MP,1,3,2017-09-08 16:11:32+00:00,,True,True,28.0,,10304.0,,368.0,1266.0,,,,,38.0,,2.0,,11.0,,0.3928571428571428,,
EXACT SOLVABILITY AND ASYMPTOTIC ASPECTS OF GENERALIZED XX0 SPIN CHAINS,1709.02760,math-ph hep-th math.MP,2,3,2018-05-22 11:00:02+00:00,255 days 18:48:30,True,True,29.0,1.0,10481.0,177.0,361.41379310344826,1310.0,16.0,54.0,0.041952707856598,0.0134175217048145,38.0,0.0,2.0,0.0,11.0,0.0,0.3793103448275862,False,False
EXACT SOLVABILITY AND ASYMPTOTIC ASPECTS OF GENERALIZED XX0 SPIN CHAINS,1709.02760,math-ph hep-th math.MP,3,3,2020-04-01 13:49:08+00:00,680 days 02:49:06,True,True,25.0,-4.0,8778.0,-1703.0,351.12,1295.0,184.0,168.0,0.1304012345679012,0.141113653699466,49.0,11.0,2.0,0.0,5.0,-6.0,0.2,False,True
Strings in Bubbling Geometries and Dual Wilson Loop Correlators,1709.03569,hep-th,1,3,2017-09-11 20:14:31+00:00,,True,True,44.0,,9686.0,,220.13636363636363,1520.0,,,,,45.0,,6.0,,20.0,,0.4545454545454545,,
Strings in Bubbling Geometries and Dual Wilson Loop Correlators,1709.03569,hep-th,2,3,2017-10-11 19:35:48+00:00,29 days 23:21:17,True,True,47.0,3.0,9915.0,229.0,210.95744680851064,1494.0,80.0,52.0,0.0354515050167224,0.0532544378698224,45.0,0.0,6.0,0.0,17.0,-3.0,0.3617021276595745,False,False
Strings in Bubbling Geometries and Dual Wilson Loop Correlators,1709.03569,hep-th,3,3,2017-12-22 15:37:47+00:00,71 days 20:01:59,True,True,48.0,1.0,10349.0,434.0,215.60416666666666,1534.0,4.0,36.0,0.0241042345276872,0.0033444816053511,45.0,0.0,6.0,0.0,18.0,1.0,0.375,False,True
"Families of vector-like deformed relativistic quantum phase spaces, twists and symmetries",1709.04745,hep-th,1,2,2017-09-14 12:57:58+00:00,,True,True,20.0,,3870.0,,193.5,803.0,,,,,65.0,,3.0,,0.0,,0.0,,
"Families of vector-like deformations of relativistic quantum phase spaces, twists and symmetries",1709.04745,hep-th,2,2,2017-12-11 14:45:16+00:00,88 days 01:47:18,True,True,20.0,0.0,3977.0,107.0,198.85,816.0,1.0,17.0,0.02203182374541,0.0024875621890547,67.0,2.0,3.0,0.0,1.0,1.0,0.05,True,True
Intrinsic Damping Phenomena from Quantum to Classical Magnets: An ab-initio Study of Gilbert Damping in Pt/Co Bilayer,1709.04911,cond-mat.mes-hall,1,2,2017-09-14 17:56:37+00:00,,True,True,8.0,,4127.0,,515.875,1070.0,,,,,39.0,,3.0,,5.0,,0.625,,
Intrinsic Damping Phenomena from Quantum to Classical Magnets: An ab-initio Study of Gilbert Damping in Pt/Co Bilayer,1709.04911,cond-mat.mes-hall,2,2,2017-11-14 22:42:36+00:00,61 days 04:45:59,True,True,8.0,0.0,4219.0,92.0,527.375,1083.0,8.0,21.0,0.0202952029520295,0.0084033613445378,42.0,3.0,3.0,0.0,5.0,0.0,0.625,False,True
Response to 'Burden of proof: A comprehensive review of the feasibility of 100% renewable-electricity systems',1709.05716,physics.soc-ph,1,3,2017-09-17 21:02:49+00:00,,True,True,13.0,,9225.0,,709.6153846153846,2391.0,,,,,139.0,,6.0,,3.0,,0.2307692307692307,,
"Response to 'Burden of proof: A comprehensive review of the feasibility
  of 100% renewable-electricity systems'",1709.05716,physics.soc-ph,2,3,2018-03-14 13:26:45+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Response to 'Burden of proof: A comprehensive review of the feasibility of 100% renewable-electricity systems',1709.05716,physics.soc-ph,3,3,2018-05-12 14:41:37+00:00,,True,True,19.0,,13829.0,,727.8421052631579,3211.0,,,,,227.0,,6.0,,3.0,,0.1578947368421052,,
Supersymmetric dS/CFT,1709.06024,hep-th gr-qc,1,2,2017-09-18 16:17:38+00:00,,True,True,25.0,,6923.0,,276.92,1360.0,,,,,61.0,,4.0,,7.0,,0.28,,
Supersymmetric dS/CFT,1709.06024,hep-th gr-qc,2,2,2018-02-09 13:43:58+00:00,143 days 21:26:20,True,True,27.0,2.0,7656.0,733.0,283.55555555555554,1462.0,2.0,88.0,0.060833902939166,0.0022042615723732,68.0,7.0,4.0,0.0,7.0,0.0,0.2592592592592592,False,True
Elliptic Flow in Pb+Pb Collisions at √ s NN = 2.76 TeV at the LHC Using Boltzmann Transport Equation with Non-extensive Statistics,1709.06354,hep-ph nucl-th,1,2,2017-09-19 11:34:20+00:00,,True,True,9.0,,3417.0,,379.6666666666667,847.0,,,,,43.0,,5.0,,9.0,,1.0,,
Elliptic Flow in Pb+Pb Collisions at √ s NN = 2.76 TeV at the LHC Using Boltzmann Transport Equation with Non-extensive Statistics,1709.06354,hep-ph nucl-th,2,2,2018-03-05 11:55:17+00:00,167 days 00:20:57,True,True,9.0,0.0,3462.0,45.0,384.6666666666667,846.0,17.0,16.0,0.0200708382526564,0.0212264150943396,44.0,1.0,5.0,0.0,9.0,0.0,1.0,False,False
Anomalous Weak Values Emerging from Strong Interactions between Light and Matter,1709.08475,quant-ph,1,3,2017-09-25 13:17:06+00:00,,True,True,6.0,,2754.0,,459.0,851.0,,,,,35.0,,4.0,,3.0,,0.5,,
Anomalous Weak Values Emerging from Strong Interactions between Light and Matter,1709.08475,quant-ph,2,3,2017-10-12 15:10:53+00:00,17 days 01:53:47,True,True,6.0,0.0,2986.0,232.0,497.6666666666667,877.0,36.0,65.0,0.0751708428246013,0.0434272300469483,37.0,2.0,4.0,0.0,2.0,-1.0,0.3333333333333333,False,
Extraordinary Interactions between Light and Matter Determined by Anomalous Weak Values,1709.08475,quant-ph,3,3,2018-06-24 20:40:31+00:00,255 days 05:29:38,True,True,11.0,5.0,2840.0,-146.0,258.1818181818182,876.0,55.0,41.0,0.0478905359179019,0.0637813211845102,38.0,1.0,4.0,0.0,1.0,-1.0,0.0909090909090909,True,
Implementation of a custom time-domain firmware trigger for RADAR-based cosmic ray detection,1709.08587,astro-ph.IM hep-ex physics.ins-det,1,2,2017-09-25 16:41:42+00:00,,True,True,14.0,,3228.0,,230.57142857142858,959.0,,,,,13.0,,5.0,,11.0,,0.7857142857142857,,
Implementation of a custom time-domain firmware trigger for RADAR-based cosmic ray detection,1709.08587,astro-ph.IM hep-ex physics.ins-det,2,2,2017-11-06 23:33:58+00:00,42 days 06:52:16,True,True,14.0,0.0,3234.0,6.0,231.0,960.0,1.0,7.0,0.0083246618106139,0.0020833333333333,13.0,0.0,5.0,0.0,11.0,0.0,0.7857142857142857,False,True
Mixed Precision Solver Scalable to 16000 MPI Processes for Lattice Quantum Chromodynamics Simulations on the Oakforest-PACS System,1709.08785,physics.comp-ph hep-lat,1,2,2017-09-26 02:02:10+00:00,,True,True,7.0,,4259.0,,608.4285714285714,1023.0,,,,,19.0,,4.0,,8.0,,1.1428571428571428,,
Mixed Precision Solver Scalable to 16000 MPI Processes for Lattice Quantum Chromodynamics Simulations on the Oakforest-PACS System,1709.08785,physics.comp-ph hep-lat,2,2,2017-09-29 08:28:11+00:00,3 days 06:26:01,True,True,7.0,0.0,4259.0,0.0,608.4285714285714,1023.0,0.0,0.0,0.0009765625,0.0009765625,19.0,0.0,4.0,0.0,8.0,0.0,1.1428571428571428,False,True
Correlation between peak-height modulation and phase-lapses in transport through quantum dots,1709.09168,cond-mat.mes-hall,1,2,2017-09-26 18:51:31+00:00,,True,True,11.0,,7323.0,,665.7272727272727,1470.0,,,,,61.0,,4.0,,7.0,,0.6363636363636364,,
Correlation between peak-height modulation and phase-lapses in transport through quantum dots,1709.09168,cond-mat.mes-hall,2,2,2017-12-18 19:30:56+00:00,83 days 00:39:25,True,True,12.0,1.0,7454.0,131.0,621.1666666666666,1477.0,41.0,46.0,0.0317997293640054,0.0285520054384772,61.0,0.0,4.0,0.0,8.0,1.0,0.6666666666666666,False,True
Hamiltonian approach to 2nd order gauge invariant cosmological perturbations,1709.09804,gr-qc astro-ph.CO,1,2,2017-09-28 05:14:59+00:00,,True,True,35.0,,6939.0,,198.25714285714287,1030.0,,,,,35.0,,2.0,,4.0,,0.1142857142857142,,
Hamiltonian approach to 2nd order gauge invariant cosmological perturbations,1709.09804,gr-qc astro-ph.CO,2,2,2018-01-08 17:17:13+00:00,102 days 12:02:14,True,True,35.0,0.0,7160.0,221.0,204.57142857142858,1088.0,9.0,63.0,0.0587695133149678,0.0096993210475266,36.0,1.0,2.0,0.0,2.0,-2.0,0.0571428571428571,False,True
Complex action suggests future-included theory,1709.10179,quant-ph hep-th,1,2,2017-09-28 21:44:56+00:00,,True,True,12.0,,3346.0,,278.8333333333333,669.0,,,,,31.0,,2.0,,9.0,,0.75,,
Complex action suggests future-included theory,1709.10179,quant-ph hep-th,2,2,2018-01-31 23:50:58+00:00,125 days 02:06:02,True,True,12.0,0.0,3477.0,131.0,289.75,711.0,18.0,67.0,0.095505617977528,0.0283582089552238,32.0,1.0,2.0,0.0,9.0,0.0,0.75,False,True
Inconsistencies in Verlinde's emergent gravity,1710.00946,gr-qc hep-ph hep-th,1,2,2017-10-03 00:45:53+00:00,,True,True,4.0,,1570.0,,392.5,498.0,,,,,4.0,,2.0,,0.0,,0.0,,
Inconsistencies in Verlinde's emergent gravity,1710.00946,gr-qc hep-ph hep-th,2,2,2017-11-08 20:22:37+00:00,36 days 19:36:44,True,True,8.0,4.0,1801.0,231.0,225.125,546.0,19.0,68.0,0.1261425959780621,0.0400801603206412,10.0,6.0,2.0,0.0,0.0,0.0,0.0,False,False
On the first law of entanglement for Quasi-Topological gravity,1710.01553,hep-th,1,2,2017-10-04 11:28:52+00:00,,False,False,,,,,,,,,,,,,,,,,,,
On the first law of entanglement for Quasi-Topological gravity,1710.01553,hep-th,2,2,2018-03-15 01:28:22+00:00,,True,True,23.0,,3550.0,,154.34782608695653,811.0,,,,,40.0,,4.0,,3.0,,0.1304347826086956,,
Stationary mass distribution and non-locality in models of coalescence and shattering,1710.01875,cond-mat.stat-mech,1,2,2017-10-05 03:50:44+00:00,,True,True,14.0,,6275.0,,448.2142857142857,1151.0,,,,,50.0,,5.0,,9.0,,0.6428571428571429,,
Stationary mass distribution and nonlocality in models of coalescence and shattering,1710.01875,cond-mat.stat-mech,2,2,2018-02-21 17:52:43+00:00,139 days 14:01:59,True,True,16.0,2.0,7568.0,1293.0,473.0,1338.0,64.0,239.0,0.1792382374906646,0.0564236111111111,55.0,5.0,5.0,0.0,9.0,0.0,0.5625,True,False
FlexibleSUSY 2.0: Extensions to investigate the phenomenology of SUSY and non-SUSY models,1710.03760,hep-ph,1,2,2017-10-10 18:00:03+00:00,,True,True,118.0,,32322.0,,273.91525423728814,3441.0,,,,,230.0,,8.0,,65.0,,0.5508474576271186,,
FlexibleSUSY 2.0: Extensions to investigate the phenomenology of SUSY and non-SUSY models,1710.03760,hep-ph,2,2,2018-04-04 20:25:10+00:00,176 days 02:25:07,True,True,120.0,2.0,34073.0,1751.0,283.94166666666666,3602.0,23.0,131.0,0.0366361365528726,0.0069726902963393,247.0,17.0,8.0,0.0,65.0,0.0,0.5416666666666666,False,False
Finite-size effects in the short-time height distribution of the Kardar-Parisi-Zhang equation,1710.04188,cond-mat.stat-mech,1,3,2017-10-11 17:32:14+00:00,,True,True,29.0,,8809.0,,303.7586206896552,1357.0,,,,,61.0,,3.0,,11.0,,0.3793103448275862,,
"Finite-size effects in the short-time height distribution of the
  Kardar-Parisi-Zhang equation",1710.04188,cond-mat.stat-mech,2,3,2017-12-16 17:44:53+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Finite-size effects in the short-time height distribution of the Kardar-Parisi-Zhang equation,1710.04188,cond-mat.stat-mech,3,3,2018-02-14 08:04:30+00:00,,True,True,30.0,,9536.0,,317.8666666666667,1426.0,,,,,60.0,,3.0,,12.0,,0.4,,
"Recent developments in bound-state calculations using the
  Dyson-Schwinger and Bethe-Salpeter equations",1710.04903,hep-ph,1,2,2017-10-13 13:10:52+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Recent developments in bound-state calculations using the Dyson-Schwinger and Bethe-Salpeter equations,1710.04903,hep-ph,2,2,2018-06-25 10:47:55+00:00,,True,True,37.0,,11664.0,,315.2432432432432,1957.0,,,,,92.0,,2.0,,18.0,,0.4864864864864865,,
One dimensional Cherenkov processes in ferromagnetic insulator,1710.06155,cond-mat.mes-hall,1,2,2017-10-17 08:28:34+00:00,,True,True,7.0,,3529.0,,504.14285714285717,877.0,,,,,36.0,,2.0,,3.0,,0.4285714285714285,,
One dimensional Cherenkov processes in ferromagnetic insulator,1710.06155,cond-mat.mes-hall,2,2,2017-11-06 13:54:45+00:00,20 days 05:26:11,True,True,7.0,0.0,3620.0,91.0,517.1428571428571,882.0,90.0,95.0,0.1087202718006795,0.1036446469248291,38.0,2.0,4.0,2.0,2.0,-1.0,0.2857142857142857,False,False
Viscous Dark Energy In Bianchi Type V Space-Time,1710.06265,physics.gen-ph,1,3,2017-10-07 21:19:24+00:00,,True,True,11.0,,3291.0,,299.1818181818182,790.0,,,,,33.0,,1.0,,4.0,,0.3636363636363636,,
Viscous Dark Energy In Bianchi Type V Space-Time,1710.06265,physics.gen-ph,2,3,2017-10-27 14:30:05+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Viscous Dark Energy In Bianchi Type V Space-Time,1710.06265,physics.gen-ph,3,3,2017-11-14 21:50:10+00:00,,True,True,12.0,,3966.0,,330.5,903.0,,,,,46.0,,1.0,,6.0,,0.5,,
Noether Symmetry in f(T) Theory at the anisotropic universe,1710.06266,physics.gen-ph,1,2,2017-10-13 19:13:43+00:00,,True,True,8.0,,1908.0,,238.5,588.0,,,,,40.0,,1.0,,1.0,,0.125,,
Noether Symmetry in f(T) Theory at the anisotropic universe,1710.06266,physics.gen-ph,2,2,2018-01-15 17:37:15+00:00,93 days 22:23:32,True,True,8.0,0.0,1908.0,0.0,238.5,588.0,0.0,0.0,0.0016977928692699,0.0016977928692699,40.0,0.0,1.0,0.0,1.0,0.0,0.125,False,True
Colossal Photon Bunching in Phonon Mediated Nanodiamond Cathodoluminescence,1710.06483,physics.optics,1,2,2017-10-17 19:46:18+00:00,,True,True,6.0,,3080.0,,513.3333333333334,937.0,,,,,31.0,,11.0,,3.0,,0.5,,
Colossal photon bunching in quasiparticle-mediated nanodiamond cathodoluminescence,1710.06483,physics.optics,2,2,2018-02-16 17:56:21+00:00,121 days 22:10:03,True,True,5.0,-1.0,2805.0,-275.0,561.0,949.0,289.0,296.0,0.3126315789473684,0.3091684434968017,35.0,4.0,11.0,0.0,4.0,1.0,0.8,True,False
Limits on primordial black holes from µ distortions in cosmic microwave background,1710.06945,astro-ph.CO gr-qc,1,2,2017-10-18 21:43:32+00:00,,True,True,10.0,,4339.0,,433.9,1092.0,,,,,74.0,,3.0,,3.0,,0.3,,
Limits on primordial black holes from µ distortions in cosmic microwave background,1710.06945,astro-ph.CO gr-qc,2,2,2018-02-24 18:41:26+00:00,128 days 20:57:54,True,True,11.0,1.0,4923.0,584.0,447.54545454545456,1144.0,86.0,136.0,0.119650655021834,0.0795974382433668,77.0,3.0,3.0,0.0,3.0,0.0,0.2727272727272727,False,
THE MAGELLAN EVOLUTION OF GALAXIES SPECTROSCOPIC AND ULTRAVIOLET REFERENCE ATLAS (MegaSaura) I: THE SAMPLE AND THE SPECTRA,1710.07294,astro-ph.GA,1,2,2017-10-19 18:00:06+00:00,,True,True,24.0,,6454.0,,268.9166666666667,1689.0,,,,,80.0,,10.0,,5.0,,0.2083333333333333,,
THE MAGELLAN EVOLUTION OF GALAXIES SPECTROSCOPIC AND ULTRAVIOLET REFERENCE ATLAS (MegaSaura) I: THE SAMPLE AND THE SPECTRA,1710.07294,astro-ph.GA,2,2,2017-10-31 18:38:40+00:00,12 days 00:38:34,True,True,24.0,0.0,6382.0,-72.0,265.9166666666667,1700.0,2.0,15.0,0.0094062316284538,0.001775147928994,80.0,0.0,10.0,0.0,4.0,-1.0,0.1666666666666666,False,True
Entangled multi-component 4D quantum Hall states from photonic crystal defects,1710.08385,cond-mat.mes-hall cond-mat.dis-nn cond-mat.mtrl-sci,1,3,2017-10-23 16:58:53+00:00,,True,True,14.0,,5415.0,,386.7857142857143,1473.0,,,,,139.0,,7.0,,14.0,,1.0,,
Entangled multi-component 4D quantum Hall states from photonic crystal defects,1710.08385,cond-mat.mes-hall cond-mat.dis-nn cond-mat.mtrl-sci,2,3,2018-02-22 08:47:10+00:00,121 days 15:48:17,True,True,14.0,0.0,5459.0,44.0,389.92857142857144,1482.0,0.0,13.0,0.00944032366824,0.0006784260515603,143.0,4.0,7.0,0.0,14.0,0.0,1.0,False,True
Entangled 4D multi-component topological states from photonic crystal defects,1710.08385,cond-mat.mes-hall cond-mat.dis-nn cond-mat.mtrl-sci,3,3,2019-06-29 18:19:51+00:00,492 days 09:32:41,True,True,22.0,8.0,7499.0,2040.0,340.8636363636364,1664.0,216.0,423.0,0.2546546546546546,0.1463250168577208,93.0,-50.0,8.0,1.0,16.0,2.0,0.7272727272727273,True,False
From Gauss Graphs to Giants,1710.09063,hep-th,1,2,2017-10-25 03:19:34+00:00,,True,True,16.0,,4082.0,,255.125,920.0,,,,,34.0,,2.0,,1.0,,0.0625,,
From Gauss Graphs to Giants,1710.09063,hep-th,2,2,2018-02-01 16:14:01+00:00,99 days 12:54:27,True,True,17.0,1.0,4558.0,476.0,268.11764705882354,998.0,7.0,81.0,0.082082082082082,0.008686210640608,38.0,4.0,2.0,0.0,0.0,-1.0,0.0,False,True
Observation of electron-hole pair quantization in a high voltage cryogenic silicon detector with superconducting phonon sensor readout,1710.09335,physics.ins-det,1,2,2017-10-25 16:47:46+00:00,,True,True,4.0,,2543.0,,635.75,831.0,,,,,14.0,,14.0,,5.0,,1.25,,
Thermal detection of single e-h pairs in a biased silicon crystal detector,1710.09335,physics.ins-det,2,2,2017-12-16 00:30:33+00:00,51 days 07:42:47,True,True,5.0,1.0,2641.0,98.0,528.2,869.0,19.0,55.0,0.064367816091954,0.0240384615384615,16.0,2.0,14.0,0.0,5.0,0.0,1.0,True,False
Instantaneous Bethe-Salpeter Look at the Lightest Pseudoscalar Mesons,1710.11049,hep-ph nucl-th,1,2,2017-10-30 16:29:57+00:00,,True,True,4.0,,875.0,,218.75,377.0,,,,,15.0,,2.0,,1.0,,0.25,,
Instantaneous Bethe-Salpeter Look at the Lightest Pseudoscalar Mesons,1710.11049,hep-ph nucl-th,2,2,2018-03-21 09:28:30+00:00,141 days 16:58:33,True,True,4.0,0.0,875.0,0.0,218.75,375.0,3.0,1.0,0.0053191489361702,0.0105820105820105,15.0,0.0,2.0,0.0,1.0,0.0,0.25,False,True
Revisiting CMB constraints on Warm Inflation,1710.11109,astro-ph.CO,1,2,2017-10-30 17:51:54+00:00,,True,True,26.0,,6724.0,,258.61538461538464,1188.0,,,,,44.0,,5.0,,13.0,,0.5,,
Revisiting CMB constraints on Warm Inflation,1710.11109,astro-ph.CO,2,2,2018-02-07 16:51:39+00:00,99 days 22:59:45,True,True,24.0,-2.0,6706.0,-18.0,279.4166666666667,1192.0,43.0,45.0,0.0385582564962279,0.0370058873002523,44.0,0.0,5.0,0.0,11.0,-2.0,0.4583333333333333,False,False
Robust Macroscopic Quantum Measurements in the presence of limited control and knowledge,1711.01105,quant-ph,1,2,2017-11-03 11:09:11+00:00,,True,True,11.0,,4784.0,,434.90909090909093,1039.0,,,,,22.0,,3.0,,6.0,,0.5454545454545454,,
Robust Macroscopic Quantum Measurements in the presence of limited control and knowledge,1711.01105,quant-ph,2,2,2018-01-16 11:04:17+00:00,73 days 23:55:06,True,True,11.0,0.0,4907.0,123.0,446.09090909090907,1066.0,37.0,62.0,0.0590440487347703,0.0365384615384615,22.0,0.0,3.0,0.0,6.0,0.0,0.5454545454545454,False,
Finding purifications with minimal entanglement,1711.01288,cond-mat.str-el,1,2,2017-11-03 18:16:48+00:00,,True,True,7.0,,3875.0,,553.5714285714286,1013.0,,,,,48.0,,6.0,,6.0,,0.8571428571428571,,
Finding purifications with minimal entanglement,1711.01288,cond-mat.str-el,2,2,2019-01-07 13:16:12+00:00,429 days 18:59:24,True,True,8.0,1.0,4333.0,458.0,541.625,1083.0,87.0,149.0,0.1383763837638376,0.0867850098619329,54.0,6.0,6.0,0.0,6.0,0.0,0.75,False,False
"Infrared variability, maser activity, and accretion of massive young stellar objects",1711.01489,astro-ph.SR astro-ph.GA,1,2,2017-11-04 20:24:38+00:00,,True,True,4.0,,1462.0,,365.5,660.0,,,,,24.0,,6.0,,4.0,,1.0,,
"Infrared variability, maser activity, and accretion of massive young stellar objects",1711.01489,astro-ph.SR astro-ph.GA,2,2,2017-11-09 13:51:08+00:00,4 days 17:26:30,True,True,4.0,0.0,1462.0,0.0,365.5,660.0,1.0,1.0,0.0030257186081694,0.0030257186081694,24.0,0.0,6.0,0.0,4.0,0.0,1.0,False,True
